Year,zone,valeur
2019,Arctic,2.77
2020,Arctic,2.86
2021,Arctic,2.07
2022,Arctic,2.35
2023,Arctic,2.57
2024,Arctic,2.9
2025,Arctic,3.0
1880,N. Temperate,-0.53
1881,N. Temperate,-0.49
1882,N. Temperate,-0.3
1883,N. Temperate,-0.57
1884,N. Temperate,-0.66
1885,N. Temperate,-0.7
1886,N. Temperate,-0.52
1887,N. Temperate,-0.52
1888,N. Temperate,-0.45
1889,N. Temperate,-0.24
1890,N. Temperate,-0.58
1891,N. Temperate,-0.34
1892,N. Temperate,-0.66
1893,N. Temperate,-0.55
1894,N. Temperate,-0.34
1895,N. Temperate,-0.54
1896,N. Temperate,-0.39
1897,N. Temperate,-0.48
